title,html_url,id,number,milestone,created_at,updated_at,body,author,labels,comments,assignee
[Geo-Choropleth] Dropdown behavior of selected Geo Measure inconsistent between choropleth w/ Geo-join and choropleth w/o  ,https://github.com/mapd/mapd-immerse/issues/4731,332123566,4731,,2018-06-13T19:03:07Z,2018-06-13T19:14:23Z,"### :speech_balloon: Description
After user creates a Geo-Choropleth chart with Geo-Join (i.e. join flight table with mapd_state via state col.)and user selects the Geo Measure field; it would generate an empty dropdown. This behavior is inconsistent with Geo-Choropleth without Join where selecting the Geo Measure field would generate a dropdown with [mapd_geo <pt. icon>]. 

### :computer: Environment
- **Browser Name, Version**:  Chrome, Firefox, Safari
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Create a Geo-Choropleth with the following:
**Data Source:** flight
**Dimension:** dest_state
**Measure - Geo:** mapd_geo (note need to create join table before selecting geo measure)
**Measure -Color:** airtime (avg)
Join Table:
**Data Source:** Mapd_states
**Table Column:** abbr

2. Click on Geo Measure

- **Actual result:**
empty drop down which is inconsistent with Geo-Choropleth without Join

- **Expected result:**
Consistent dropdown behavior across Geo-choropleth charts



**Geo-Choropleth with Join**
<img width=""1353"" alt=""screen shot 2018-06-13 at 11 14 15 am"" src=""https://user-images.githubusercontent.com/35040876/41372349-e4806b16-6f01-11e8-8486-511849d79bf0.png"">


**Geo-Choropleth without Join**
<img width=""1184"" alt=""screen shot 2018-06-13 at 11 30 45 am"" src=""https://user-images.githubusercontent.com/35040876/41372331-d857f3e0-6f01-11e8-87b9-b3b139fdeded.png"">





### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",ericli5454,"P3,bug,found during 4.0",1,
Document a timeline of the 4.0 release,https://github.com/mapd/mapd-immerse/issues/4730,332111336,4730,,2018-06-13T18:28:17Z,2018-06-13T18:51:23Z,"### :speech_balloon: Description
For helping with 4.0 release post-mortem, let's document the series of events so we can identify the part of the workflow that could be improved for more predictability.

### Acceptance criteria
Deliver a short list of milestones taken from Slack and from Github",biovisualize,,1,
[UI Components] Make components required for new formatting UI,https://github.com/mapd/mapd-immerse/issues/4728,331986975,4728,,2018-06-13T13:08:10Z,2018-06-13T13:08:24Z,"### Description

Create initial versions of the input components that will be necessary to make the upcoming new measure formatting UI, using the new component sandbox and design system.
",jrajav,"Design System,components",0,
"[UI Components] Prototype a component sandbox solution (""living component library"")",https://github.com/mapd/mapd-immerse/issues/4727,331985289,4727,[object Object],2018-06-13T13:03:39Z,2018-06-13T17:44:33Z,"### Description
Investigate and prototype different solutions for developing components collaboratively with design, integrated with the actual logic, styling, and tests for the components.

Examples:
https://github.com/storybooks/storybook
https://github.com/styleguidist/react-styleguidist

### Goals
A minimal example of a component implemented in one or more prospective solutions, ready to plug in a MapD component and some test cases / different inputs.",jrajav,"Design System,components,design",0,jmenestr
Unable to apply number formatting to aggregate measures on the Number chart ,https://github.com/mapd/mapd-immerse/issues/4726,331818373,4726,,2018-06-13T02:25:14Z,2018-06-13T02:25:51Z,"### :speech_balloon: Description
Number formatting is applied to AVG measure upon initial load, but once a switch is made to another aggregate (min, max, sum, unique, stddev) the number will no longer respond to the formatting on the right side. 

### :computer: Environment
- **Browser: All **: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Number chart (Source: flights | Measure: airtime)
- Switch the aggregate from AVG to MIN
- Change the formatting on the right side 

- **Actual result:**
Formatting can only be applied to AVG on first load and measures without aggregates like # Records
- **Expected result:**
User should be able to apply formatting to all aggregates on the number chart. 



### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![numberformatting](https://user-images.githubusercontent.com/39566471/41326740-521f06e2-6e75-11e8-86d2-c1234e5ac364.gif)
### :memo: Other Info",AlexHarutyunyan,"P4,bug,found during 4.0",0,
[Combo] X-axis mis-aligned when X-axis Dimension is Numeric datatype,https://github.com/mapd/mapd-immerse/issues/4723,331788444,4723,,2018-06-12T23:25:22Z,2018-06-12T23:25:22Z,"### :speech_balloon: Description
Currently, when we create a combo chart with a numeric X-axis dimension, the x-axis would be mis-aligned to the right.

### :computer: Environment
- **Browser Name, Version**:  Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Create a chart with the following:
**Data Source:** tweet_2017_may
**x-axis dimension:** tweet_count (auto)
**y-axis measure:** record

- **Actual result:**
 x-axis not aligned

- **Expected result:**
x-axis aligned

<img width=""1669"" alt=""screen shot 2018-06-12 at 4 18 54 pm"" src=""https://user-images.githubusercontent.com/35040876/41322307-2692a2ee-6e5d-11e8-8187-0678d9daa64b.png"">


### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",ericli5454,"P3,bug",0,biovisualize
Create design assets to match the Design System Component Library ,https://github.com/mapd/mapd-immerse/issues/4722,331773678,4722,,2018-06-12T22:16:04Z,2018-06-13T12:53:13Z,"### :speech_balloon:

As our new design system component library evolves so will our design resources. 
Example sticker sheets, shared library objects and styles.










































































",Christian-Baptiste,"Design System,design",1,Christian-Baptiste
Accessibility styling,https://github.com/mapd/mapd-immerse/issues/4721,331772554,4721,,2018-06-12T22:11:27Z,2018-06-13T00:21:58Z,"### :speech_balloon: 

To make our apps both visually appealing and accessible we will need to update our apps with some new styling. These styles will need to include acceptable contrast levels, font sizing, and tool tips (for screen readers).


- First stab at this will be to change all of our primary button styling.
- Next we will start testing different text contrast.
- Next we will start to do an inventory to determine where include and are missing tool tips.

",Christian-Baptiste,"Design System,design",0,Christian-Baptiste
[UI Components] Start a widget design system,https://github.com/mapd/mapd-immerse/issues/4717,331763906,4717,,2018-06-12T21:39:52Z,2018-06-13T13:11:14Z,"### Description
Taking a simple widget and a simple task as a pretext, we could start figuring out how a UI design system could work. For example:
* Task: accessible button (color, tooltip)
* Widget: buttons
* Design system: decoupled button component, specific css file of theme, vector button to use in sketch, test page in a component sandbox to try out different button states and events

Related to https://github.com/mapd/mapd-immerse/issues/4727

### Acceptance criteria
An improved widget in the UI that also shows a complete design workflow",biovisualize,"Design System,components,design",0,
[UI Components] Make inventory of current components,https://github.com/mapd/mapd-immerse/issues/4716,331762759,4716,,2018-06-12T21:35:48Z,2018-06-13T12:58:27Z,"### Description
List all widgets we have so we can start figure out how to transition to a proper component library.

### Acceptance criteria
A list of widgets coming from Immerse, preferably with screenshots, stored someplace accessible and easy to modify (such as the wiki at https://mapdgpu.atlassian.net/wiki/spaces/FE/overview).

### Start of a list
* Error modal
* tooltips
* Dropdown
* Form widgets (checkbox/togle)",biovisualize,"components,design",0,
[UI Components] Components library,https://github.com/mapd/mapd-immerse/issues/4715,331754538,4715,,2018-06-12T21:09:00Z,2018-06-13T13:08:42Z,"### Description
Move to a documented UI library or at least patterns.

### User story

### Acceptance criteria

### Goals
* Document the design patterns
* Hand-off design to implementation
* Force to decouple the code into modular components with clear interfaces and sane relation with the UI part of it

### Steps
* Make an inventory of the widgets we have and the constraints attached to them
* List the UI goals (accessibility)
* Identify how to get started

### Find a project as a pretext to get started:
* Formatting UI
* Admin UI
* Error modals
* Notifications
* Low-hanging fruits like button colors and components that are already stock, like some autocomplete dropdowns, tooltips
* Responsiveness is a project that is too big, but maybe doing it for a view, like Dataset or SQL Editor

### Constraints from the tech side
* We don't often have new views or components to introduce, so we need to be proactive in reworking our existing components for any project
* We have a lot of custom components, sometimes it's just a normal component with deep coupling in the rest of the code, but sometimes it's because the widgets are very complicated, contextual or just plain weird.",biovisualize,"Design System,Epic,components",1,Christian-Baptiste
Convert current flow files into typescript files,https://github.com/mapd/mapd-immerse/issues/4714,331740006,4714,,2018-06-12T20:24:24Z,2018-06-12T20:24:24Z,"Remove existing flow files and convert to typescript

### Acceptance Criteria
1) __MUST__ convert all files with `flow` directive over to typescript
2) __MUST__ remove all flow packages from `package.json`",jmenestr,tech,0,
Add typescript compiler into existing  build system,https://github.com/mapd/mapd-immerse/issues/4713,331739260,4713,,2018-06-12T20:22:07Z,2018-06-12T20:22:07Z,"Add typescript complication into our current build system.

## Acceptance Criteria
1) __MUST__ allow for a mix of existing `.js` files and new `.ts` files
2) __MUST__ not change the public API of how assess are built
",jmenestr,tech,0,jmenestr
Adding Typescript to Immersere,https://github.com/mapd/mapd-immerse/issues/4712,331738201,4712,,2018-06-12T20:18:59Z,2018-06-13T20:20:14Z,"Context: 
As the immerse codebase grows, and we strive towards reliability and predictability, we need better tools for scaling the code. Introducing new static analysis will do a few things to help us reach these goals

1) Allows developers to focus on exposed APIs, and use tooling to consume those APIs (no need to know the code base by memory)
* Types exists for libraries we depend greatly on ([crossfilter.js](https://www.npmjs.com/package/@types/crossfilter), [dc.js](https://www.npmjs.com/package/@types/dc)), which we can consume in our `connector` and `charting` libraries for cleaner, more maintainable interfaces with immerse
2) Time saved fixing bugs is time gained writing features
* `Typescript` tooling is fantastic. It will help prevent interface bugs before production, and since tooling can read and understand `typescript` interfaces, more time is spent just writing new code rather than always having to look up types and data contracts

By integration all our libraries together with `typescript`, we gain faster developer speed (more features) and better documentation that remains in sync with the code. 

Goal:
Incrementally add typescript to the `immerse` platform in such a way that
1) New `.ts(x)` files can live with existing `.js(x)` files
2) existing type systems (`flow`) are removed and migrated over to typescript

Related epics:

https://github.com/mapd/mapd-immerse/issues/4328
",jmenestr,"Epic,tech",6,
Investigate chart color spec shapes,https://github.com/mapd/mapd-immerse/issues/4709,331658717,4709,,2018-06-12T16:16:33Z,2018-06-12T16:16:46Z,"Look into the possible shapes of `chartSpec.colors` to better understand it for future work around organizing, sharing, and decoupling the chart state.

Supports https://github.com/mapd/mapd-immerse/issues/4328 and https://github.com/mapd/mapd-immerse/issues/4327

Goal: There appear to be three types of colorShapes, `nullColorShape`, `regularColorShape`, and `customColorShape`. Find out relevant info about them and record snapshots of them in real state for a few different chart types and configurations.",jrajav,tech,0,jmenestr
[WIP] fix chart animation offset in editor,https://github.com/mapd/mapd-immerse/pull/4708,331651619,4708,,2018-06-12T15:57:36Z,2018-06-14T14:57:48Z,"### 💬  Description
 
### 📄 Github Issue
Closes #4676

### :camera_flash: Screenshot",biovisualize,,4,
Clean up raster chart functionality,https://github.com/mapd/mapd-immerse/issues/4706,331596948,4706,,2018-06-12T13:51:04Z,2018-06-12T13:53:46Z,"Master issue to investigate raster chart (pointmap, geoheat, choropleth) functionality as relating to selectors (dimensions, measures), automatic logic around geo columns, and anything else that can be consolidated, shared, or made more robust.

* Ensure that x, y (lon, lat) columns are treated specially in a robustly stored or referenced way - in many parts of the code now, they are just assumed to be index 0 and 1 in the measures.

Other notes from Slack:
* Cleaning up the dimension shenanigans
* Removing all references to “geoheat” that don’t reference a heatmap
* Unifying raster chart actions and using thunk
* Or sagas or some such to dispatch appropriate functions?",jrajav,tech,0,
"[Geo - Pointmap] Ensure that popup columns on pointmap are properly set to static aggregate columns, even if some popup columns have been set before setting the dimension",https://github.com/mapd/mapd-immerse/issues/4705,331590531,4705,,2018-06-12T13:35:30Z,2018-06-12T13:37:58Z,"### :speech_balloon: Description

When selecting a dimension on pointmap, the popup columns are set to the static set of columns defined in the aggregate and the popup column configuration is hidden. However, if one selects some custom popup columns before selecting the dimension, only that set is shown. Need to clear the popup columns back to the default before setting the static set.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,bug,0,
issue with null domain after switching between raster charts,https://github.com/mapd/mapd-immerse/issues/4702,331431180,4702,,2018-06-12T04:14:10Z,2018-06-12T04:14:10Z,"### :speech_balloon: Description

Sometimes the raster chart domain will appear as ""null"" when switching between raster charts before saving. Am having a difficult time reproing, but suspect it might have something to do with handling autoscaling properly on a raster chart switch.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,bug,0,
better dimension handling in choropleth,https://github.com/mapd/mapd-immerse/issues/4701,331424826,4701,,2018-06-12T03:31:40Z,2018-06-13T00:00:38Z,"### :speech_balloon: Description

If the user selects a dimension but not a join, the color measure will default to group by. This is problematic if no join is used, since the group. Not sure what the right approach is, but some combination of better design and helpful error messages will likely be needed.

https://user-images.githubusercontent.com/39566471/41261961-221e4dc8-6d93-11e8-9ecc-c310cf590361.png

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,BE-Choropleth,1,
Null values remain excluded from charts after a filter is cleared from Scatter chart ,https://github.com/mapd/mapd-immerse/issues/4699,331414551,4699,,2018-06-12T02:27:07Z,2018-06-12T15:59:23Z,"### :speech_balloon: Description
When you apply a filter on the scatter chart it will remove NULL from all charts. Even after the filter is removed the values will not be displayed until the Scatter chart is deleted. 

### :computer: Environment
- **Browser Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Table chart (Source: flights | Dimension: airtime)
- Create a Scatter chart ( Source: flights | Dimension X Axis: airtime | Dimension Y Axis: distance)
- Apply a filter on the Scatter chart by zooming in/out or selecting an area with the tooltip
- Clear the filter from the Scatter chart or clear all filters
- Delete the Scatter chart 

- **Actual result:**
The Scatter chart automatically excludes NULL from all charts when a filter is applied to it and does not return the NULL values after the filter is cleared. 
- **Expected result:**
NULL should not be removed from other charts when a filter is applied to Scatter chart. If NULL values are filtered out according to the filter on the Scatter chart, they should return when the filter is removed. 

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![nullscatter](https://user-images.githubusercontent.com/39566471/41266761-44fa6074-6dad-11e8-9089-0e2b1f5dee1e.gif)

### :memo: Other Info",AlexHarutyunyan,,0,
Heat chart unable to render certain strings in a particular dataset,https://github.com/mapd/mapd-immerse/issues/4698,331403978,4698,,2018-06-12T01:21:34Z,2018-06-12T01:23:52Z,"### :speech_balloon: Description
Encountered an issue during regression with a particular dataset and Heat chart (all string values). The culprit seems to be the 'network_location' column. 

### :computer: Environment
- **Browser Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Heat chart using dataset 'ga_sourcemedium' located on kali. 
Dimension X Axis: browser_size
Dimension Y Axis: network_location
Measure Color: browser_size 

- **Actual result:**
The chart doesn't render, but no error message is generated and errors don't appear in the console. After some time the fields no longer respond to clear. 
- **Expected result:**
An error should be generated if an invalid column is used and gets highlighted in red in the field it was selected in, or the Heatchart renders if there are no issues with the data. 




### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![screen shot 2018-06-11 at 6 06 49 pm](https://user-images.githubusercontent.com/39566471/41264849-e255572a-6da3-11e8-844f-e2c68a5009eb.png)

![screen shot 2018-06-11 at 6 19 18 pm](https://user-images.githubusercontent.com/39566471/41264874-f9848498-6da3-11e8-8e08-37c16265e305.png)

### :memo: Other Info",AlexHarutyunyan,"P4,bug,found during 4.0",0,
Investigate inconsistencies in column type labels,https://github.com/mapd/mapd-immerse/issues/4692,331290636,4692,,2018-06-11T18:00:58Z,2018-06-11T18:03:40Z,"### :speech_balloon: Description

e.g.  ""STR [dict. encoded]"" and not ""TEXT ENCODING DICT(32)"" in table preview (latter is the strict DDL syntax), and different labels again in the chart column selectors

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,,1,
