github issue name,github issue ID,Fix Version/s,Created timestamp,Updated timestamp,Description,Reporter,Labels,Assignee,Comment Body
Formatting selections change the Sort By selection for number datatypes (Bar/Pie chart),4680,,2018-06-08T22:40:48Z,2018-06-08T22:41:24Z,"### :speech_balloon: Description
Changing the measure formatting on Pie chart and Bar chart applies the dimension Sort By selection

### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Bar chart (Source: Flights | Dimension: arr_timestamp | Measure: # Records)
- Changing the Sort By to arr_timestamp
- Change the Measure Number Formatting and observe 

- **Actual result:**
When the formatting is changed so is the Sort By selection (# Records)
- **Expected result:**
Formatting should only effect the way measures are displayed. 


### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![formatting sort](https://user-images.githubusercontent.com/39566471/41183952-242749ac-6b32-11e8-8acd-cb914d51ec49.gif)

### :memo: Other Info",AlexHarutyunyan,"P4,bug,found during 4.0",,
[Geo-Choropleth] Unable to add Geo-Measure after removing Dimension of existing chart,4679,,2018-06-08T22:28:34Z,2018-06-11T21:31:46Z,"### :speech_balloon: Description
Currently if user removes Dimension of an existing(saved) geo-choropleth chart with geo join (i.e. join flight table with mapd_state via state col.), and user adds new Dimension and Geo-measure, it would trigger an error pop-up `TypeError: Cannot read property 'getPolyGeoDomain' of null`, and exiting would cause immerse to hang. 

<img width=""1228"" alt=""screen shot 2018-06-08 at 3 09 39 pm"" src=""https://user-images.githubusercontent.com/35040876/41183320-f76f6f6e-6b2e-11e8-8cb1-307d4e437e7a.png"">
Navigating to dashboards after immerse hang trigger another error:

```
TypeError: Cannot read property 'attributes' of null
    at t.default (vendor.c61d4d71b89a4750eee8.js:1)
```

<img width=""1222"" alt=""screen shot 2018-06-08 at 3 07 55 pm"" src=""https://user-images.githubusercontent.com/35040876/41183326-fe2c8a62-6b2e-11e8-9c73-9679f9ed2d1b.png"">


### :computer: Environment
- **Browser Name, Version**: Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Navigate to a saved Choropleth chart with the following:
Data Source: flight
**Dimension:** dest_state
**Measure - Geo:** mapd_geo (note need to create join table before selecting geo measure)
**Measure -Color:** airtime (avg)

Join Table:
**Data Source:** Mapd_states
**Table Column:** abbr

2. Remove Dimension and Measure color
3. Add new **Dimension:** dest_state and **Measure - Geo:** mapd_geo

- **Actual result:**
Error pop up triggered followed by immerse hang

- **Expected result:**
should be able to remove dimen. and add new dim. and geo measure

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![remove_dim_bug_4](https://user-images.githubusercontent.com/35040876/41183844-ab6f14ae-6b31-11e8-9b74-a51533071190.gif)




### :memo: Other Info",ericli5454,"BE-Choropleth,P2,bug,found during 4.0",alexbaden,"adding @alexbaden @jrajav ,ericli5454
I believe I fixed this in https://github.com/mapd/mapd-immerse/pull/4693 , too.,alexbaden
@alexbaden I was able to replicate this one in #4693, under the same conditions. Looks like it didn't impact this one. ,AlexHarutyunyan
Still can repro using the issue step.,menaczar
This was fixed in a PR that has not been merged. Make sure you are testing
the PR.

On Mon, Jun 11, 2018 at 17:10 menaczar <notifications@github.com> wrote:

> Still can repro using the issue step.
>
> —
> You are receiving this because you were mentioned.
>
>
> Reply to this email directly, view it on GitHub
> <https://github.com/mapd/mapd-immerse/issues/4679#issuecomment-396388432>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AFkzUoWSVDs11Du4i7JsLxCxIYfkaVU9ks5t7tzFgaJpZM4UhB-D>
> .
>
,alexbaden
@alexbaden yes we are testing the PR #4693 ,menaczar
@alexbaden is the PR in question #4693?,AlexHarutyunyan"
[Geo - Choropleth] Does not display aggregate selector with Geo data source,4678,,2018-06-08T21:51:14Z,2018-06-11T21:44:30Z,"### :speech_balloon: Description
Currently when user creates a choropleth chart with table with geo col. as data source and user selects a numeric measure the aggregate selector does not appear.

### :computer: Environment
- **Browser Name, Version**: Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Create a geo - choropleth chart with the following; (kali)
Data Source: nyc_buildings
Measure - Geo: mapd_geo
Measure - Color: heightroof

- **Actual result:**
aggregate selector not available

- **Expected result:**
aggregate selector available

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![nyc_no_aggregate](https://user-images.githubusercontent.com/35040876/41182617-44f41b4e-6b2b-11e8-890e-9cd660578aa0.gif)
### :memo: Other Info",ericli5454,"BE-Choropleth,P2,bug,found during 4.0",alexbaden,"Adding @jrajav and @alexbaden ,ericli5454
Have a fix for this in my ordinal branch. GitHub mobile doesn’t seem  to allow assignment but please assign to me. ,alexbaden
@alexbaden The aggregate only appears if a dimension from the primary source has been selected. 

If you select the color measure right after selecting the primary source data(skipping the dimension selection), the aggregate menu won't be there. Similarly if you select a Geo Join source/column and 'mapd_geo' as a Geo measure on the left the color Measure still won't have the aggregate menu. 

Once you clear the measure without aggregate you get the following error/hang:
![screen shot 2018-06-11 at 2 37 32 pm](https://user-images.githubusercontent.com/39566471/41258491-2f4243a0-6d85-11e8-9e60-334e10cedd4f.png)
,AlexHarutyunyan"
Choropleth with 2 geo measure should distinguish between source and geo join,4677,,2018-06-08T21:25:40Z,2018-06-11T20:19:42Z,"### :speech_balloon: Description
You can get into a state where you have 2 geo measures with the same name. One comes from a column in the source and one form the geojson to join with. It might be useful to add a label to distinguish them.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",biovisualize,geospatial,,"@jrajav Can you add a screenshot and/or repro steps? No rush.,biovisualize
There is a `name_is_ambiguous` tag that it seems like we should be able to use to differentiate the two. I believe the chart should do the ""right thing"" now, since we pull the table name directly from the column metadata in the selector. But, it would be nice to disambiguate them. ,alexbaden"
Charts are out of position when editting after adding another chart to dashboard,4676,,2018-06-08T19:57:21Z,2018-06-11T20:40:03Z,"### :speech_balloon: Description
Text chart jumps to the top of the browser when you edit after adding another chart. 

### :computer: Environment
- **Browser Chrome, 67.0.3396.79 Safari, 11.1 (13605.1.33.1.4)**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a text chart and add to dashboard
- Create another chart and add to dashboard
- Go back and edit the text chart 
- **Actual result:**
The text chart jumps to the top of the browser and overlaps with the chart selection dock. 
- **Expected result:**
Text chart should remain in the intended position. 



### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![text number](https://user-images.githubusercontent.com/39566471/41178142-3aa384dc-6b1b-11e8-9ec4-47779f15ec8c.gif)

### :memo: Other Info
Unable to reproduce in the demo.",AlexHarutyunyan,"P4,bug,found during 4.0,regression",biovisualize,"@niviksha Just a heads up, I just noticed this issue is not confined to the text chart. 

![screen shot 2018-06-11 at 12 26 44 pm](https://user-images.githubusercontent.com/39566471/41252851-3fb713c6-6d73-11e8-8059-e699f12b1e75.png)
![screen shot 2018-06-11 at 12 27 01 pm](https://user-images.githubusercontent.com/39566471/41252855-43b0fcee-6d73-11e8-833b-6be9e9c1a068.png)
![screen shot 2018-06-11 at 12 29 44 pm](https://user-images.githubusercontent.com/39566471/41252860-4632da96-6d73-11e8-81fb-b92ad0b825bb.png)

Update: Still not a big deal. I found the repro. After it gets triggered on the text chart, it will extend to the other charts, but the initial trigger is still only the text chart. ,AlexHarutyunyan
Good to know. I started to investigate before this task got the release-blocker removed. So I may just finish it if I have time.,biovisualize"
Change choropleth mapd_geo selector icon to map pin icon,4675,,2018-06-08T19:05:22Z,2018-06-08T19:46:01Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"BE-Choropleth,geospatial",,
support ordinal scale in backend choropleth chart,4674,,2018-06-08T18:46:13Z,2018-06-11T19:41:26Z,"### :speech_balloon: Description

Required to support text type color measures. 

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,"BE-Choropleth,enhancement,geospatial",alexbaden,"Pulling the plug on this for 4.0 and dropping text fields from the color measure for choropleth. It looks like there is additional backend work to do to support ordinal scales.,alexbaden"
Immerse doesn't support TinyInt,4673,,2018-06-08T16:47:07Z,2018-06-08T16:47:07Z,"### :speech_balloon: Description
Immerse doesn't support TinyInt

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- run this query on Kali: select * from Paris_Mena;
- compare results from mapdql vs SQL Editor

- **Actual result:**
SQL editor doen't handle tiny int.

- **Expected result:**
Should see exactly same results.

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![Screen Shot 2018-06-07 at 2.16.03 PM.png](https://images.zenhubusercontent.com/59a47c158f62dc7798c4571a/88df4c5c-38a0-4a74-b2ee-c95300c57862)

![Screen Shot 2018-06-07 at 2.16.16 PM.png](https://images.zenhubusercontent.com/59a47c158f62dc7798c4571a/ca50c70d-3206-49ee-a002-c736323598e0)
### :memo: Other Info",menaczar,"P2,bug,found during 4.0",,
Add auto-zoom to geo-heatmap,4672,,2018-06-08T16:10:06Z,2018-06-08T18:09:52Z,"### :speech_balloon: Description
Add an auto-zoom feature to geo-heatmap on initial load to focus on the area where data is found, similar to pointmap/choropleth

### :computer: Environment
- **Browser Name, Version**: all
- **mapd-immerse Version or Branch**: master. 4.0 if it turns out to be easy to do

### :page_with_curl: Steps To Reproduce
N/A

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",vastcharade,enhancement,vastcharade,"I'm tagging it for the 4.0 release just so we can track it on the Zenhub board as a wishlist item, and maybe estimate if it can get in.,biovisualize"
Combo chart legend uses square instead of lines on multi-measure,4671,,2018-06-08T11:42:43Z,2018-06-08T11:42:59Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- any combo chart with multi-measure
- **Actual result:** all chart legend items has a square instead of line
- **Expected result:** should all be lines (when the mark is a line) as when the color dimension is used

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
<img width=""1693"" alt=""screen shot 2018-06-07 at 10 57 43 pm"" src=""https://user-images.githubusercontent.com/824534/41156348-81f74ab6-6aef-11e8-8a94-be5163007256.png"">

### :memo: Other Info",biovisualize,"bug,combo-chart",,
[Line][Hist.][Combo] Adding Color Dim. after Measure renders empty chart,4670,,2018-06-08T09:28:57Z,2018-06-11T18:48:16Z,"### :speech_balloon: Description
Currently, if user selects a **Color Dimension** after **X-axis Dimension** and **Measure**, it would render an empty chart. This occurs in Line, Histogram, and Combo chart

### :computer: Environment
- **Browser Name, Version**: Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Select a **X-axis Dimension** and **Measure**
2. Then add in **Color Dimension**

- **Actual result:**
renders blank chart

- **Expected result:**
chart renders correctly

### :dash: Smoke Test
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![line_chart](https://user-images.githubusercontent.com/35040876/41150761-a6c7db20-6ac3-11e8-8c43-0a03aad52c31.gif)

![hist](https://user-images.githubusercontent.com/35040876/41150775-ab5329e2-6ac3-11e8-90f2-dab19adc9d04.gif)


### :memo: Other Info",ericli5454,"P2,bug,found during 4.0,regression,release blocker",jmenestr,"@niviksha can you review this bug,ericli5454
@ericli5454 done.,niviksha
Enabling 'Show Range Chart' generates this error :
![screen shot 2018-06-11 at 11 45 28 am](https://user-images.githubusercontent.com/39566471/41250910-2698bb5c-6d6d-11e8-9443-af984cf2c609.png)
,AlexHarutyunyan"
