"github issue name",html_url,id,"github issue ID","Fix Version/s","Created timestamp","Updated timestamp","Description","Reporter","Labels",comments,"Assignee"
Color By Dimension is not compatible with Timestamps/Numbers and can cause an error loop if used,https://github.com/mapd/mapd-immerse/issues/4684,330842342,4684,,2018-06-09T01:38:40Z,2018-06-09T01:38:40Z,"### :speech_balloon: Description
The Color By Dimension option in the palette is not compatible with Timestamps or Numbers. All values will be appear as Other even when a full palette is added. As soon as color by dimension is selected an error loop is triggered when the user navigates to another chart. 

### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a bar chart (Source: flights | Dimension: arr_timestamp | Measure: # Records)
- Select Color By Dimension in the Color Palette 
- Add a color 
- Navigate to another chart (Histogram for example)

- **Actual result:**
The palette options don't seem to reflect the data being displayed. 
- **Expected result:**
The Color by Dimension feature should reflect the data being displayed similar to the default palettes. 



### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![colorpalettetimestamp](https://user-images.githubusercontent.com/39566471/41186387-7caa41b6-6b4a-11e8-9bb5-3825086baccf.gif)
![screen shot 2018-06-08 at 5 50 35 pm](https://user-images.githubusercontent.com/39566471/41186389-8547e562-6b4a-11e8-8130-31c2455dea0f.png)

### :memo: Other Info",AlexHarutyunyan,"P2,bug,found during 4.0",0,
Connot switch to different chart type from geo heat map,https://github.com/mapd/mapd-immerse/issues/4682,330826689,4682,,2018-06-08T23:06:37Z,2018-06-08T23:07:12Z,"### :speech_balloon: Description

Connot switch to different chart type from geo heat map


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Go to kali
- Create heat map 
-  Select source: Metro_station_Regional
- On long/ lat select mapd_geo
- Select records as color
- try to switch to a different chart


- **Actual result:**
Cannot switch to a different chart 
Heat map is not rendered anymore 

- **Expected result:**
Should be able to switch to a different chart 

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![jun-08-2018 16-04-06](https://user-images.githubusercontent.com/16374964/41184553-f5e1f4e4-6b35-11e8-9f11-d7d432a4b1bb.gif)

### :memo: Other Info",menaczar,"P2,bug,found during 4.0,geospatial",0,
Unable to clear Measure Number Formatting after clearing Dimension Date Formatting,https://github.com/mapd/mapd-immerse/issues/4681,330824611,4681,,2018-06-08T22:53:14Z,2018-06-08T23:23:10Z,"### :speech_balloon: Description
Number formatting doesn't clear if it is performed right after clearing timestamp formatting on charts that contain both formatting options. 



### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create Bar chart using (Source: flights | Dimension: arr_timestamp | Measure: # Records)
- Apply Some different combinations of formatting to arr_timestamp and # Records
- Clear the formatting from Dimension arr_timestamp using the x button
- Clear the formatting from Measure # Records using the x button 

- **Actual result:**
Unable to clear the formatting from the Measure Number Formatting
- **Expected result:**
Clear button should always clear the formatting

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![formattingclear](https://user-images.githubusercontent.com/39566471/41184257-06adb17a-6b34-11e8-9aa2-e78f34b07594.gif)
### :memo: Other Info",AlexHarutyunyan,"P3,bug,found during 4.0",0,
Formatting selections change the Sort By selection for number datatypes (Bar/Pie chart),https://github.com/mapd/mapd-immerse/issues/4680,330822629,4680,,2018-06-08T22:40:48Z,2018-06-08T22:41:24Z,"### :speech_balloon: Description
Changing the measure formatting on Pie chart and Bar chart applies the dimension Sort By selection

### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Bar chart (Source: Flights | Dimension: arr_timestamp | Measure: # Records)
- Changing the Sort By to arr_timestamp
- Change the Measure Number Formatting and observe 

- **Actual result:**
When the formatting is changed so is the Sort By selection (# Records)
- **Expected result:**
Formatting should only effect the way measures are displayed. 


### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![formatting sort](https://user-images.githubusercontent.com/39566471/41183952-242749ac-6b32-11e8-8acd-cb914d51ec49.gif)

### :memo: Other Info",AlexHarutyunyan,"P4,bug,found during 4.0",0,
[Geo-Choropleth] Unable to add Geo-Measure after removing Dimension of existing chart,https://github.com/mapd/mapd-immerse/issues/4679,330820628,4679,,2018-06-08T22:28:34Z,2018-06-11T21:31:46Z,"### :speech_balloon: Description
Currently if user removes Dimension of an existing(saved) geo-choropleth chart with geo join (i.e. join flight table with mapd_state via state col.), and user adds new Dimension and Geo-measure, it would trigger an error pop-up `TypeError: Cannot read property 'getPolyGeoDomain' of null`, and exiting would cause immerse to hang. 

<img width=""1228"" alt=""screen shot 2018-06-08 at 3 09 39 pm"" src=""https://user-images.githubusercontent.com/35040876/41183320-f76f6f6e-6b2e-11e8-8cb1-307d4e437e7a.png"">
Navigating to dashboards after immerse hang trigger another error:

```
TypeError: Cannot read property 'attributes' of null
    at t.default (vendor.c61d4d71b89a4750eee8.js:1)
```

<img width=""1222"" alt=""screen shot 2018-06-08 at 3 07 55 pm"" src=""https://user-images.githubusercontent.com/35040876/41183326-fe2c8a62-6b2e-11e8-9c73-9679f9ed2d1b.png"">


### :computer: Environment
- **Browser Name, Version**: Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Navigate to a saved Choropleth chart with the following:
Data Source: flight
**Dimension:** dest_state
**Measure - Geo:** mapd_geo (note need to create join table before selecting geo measure)
**Measure -Color:** airtime (avg)

Join Table:
**Data Source:** Mapd_states
**Table Column:** abbr

2. Remove Dimension and Measure color
3. Add new **Dimension:** dest_state and **Measure - Geo:** mapd_geo

- **Actual result:**
Error pop up triggered followed by immerse hang

- **Expected result:**
should be able to remove dimen. and add new dim. and geo measure

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![remove_dim_bug_4](https://user-images.githubusercontent.com/35040876/41183844-ab6f14ae-6b31-11e8-9b74-a51533071190.gif)




### :memo: Other Info",ericli5454,"BE-Choropleth,P2,bug,found during 4.0",6,alexbaden
[Geo - Choropleth] Does not display aggregate selector with Geo data source,https://github.com/mapd/mapd-immerse/issues/4678,330813329,4678,,2018-06-08T21:51:14Z,2018-06-11T21:44:30Z,"### :speech_balloon: Description
Currently when user creates a choropleth chart with table with geo col. as data source and user selects a numeric measure the aggregate selector does not appear.

### :computer: Environment
- **Browser Name, Version**: Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Create a geo - choropleth chart with the following; (kali)
Data Source: nyc_buildings
Measure - Geo: mapd_geo
Measure - Color: heightroof

- **Actual result:**
aggregate selector not available

- **Expected result:**
aggregate selector available

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![nyc_no_aggregate](https://user-images.githubusercontent.com/35040876/41182617-44f41b4e-6b2b-11e8-890e-9cd660578aa0.gif)
### :memo: Other Info",ericli5454,"BE-Choropleth,P2,bug,found during 4.0",3,alexbaden
Choropleth with 2 geo measure should distinguish between source and geo join,https://github.com/mapd/mapd-immerse/issues/4677,330807610,4677,,2018-06-08T21:25:40Z,2018-06-11T20:19:42Z,"### :speech_balloon: Description
You can get into a state where you have 2 geo measures with the same name. One comes from a column in the source and one form the geojson to join with. It might be useful to add a label to distinguish them.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",biovisualize,geospatial,2,
Charts are out of position when editting after adding another chart to dashboard,https://github.com/mapd/mapd-immerse/issues/4676,330784518,4676,,2018-06-08T19:57:21Z,2018-06-11T20:40:03Z,"### :speech_balloon: Description
Text chart jumps to the top of the browser when you edit after adding another chart. 

### :computer: Environment
- **Browser Chrome, 67.0.3396.79 Safari, 11.1 (13605.1.33.1.4)**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a text chart and add to dashboard
- Create another chart and add to dashboard
- Go back and edit the text chart 
- **Actual result:**
The text chart jumps to the top of the browser and overlaps with the chart selection dock. 
- **Expected result:**
Text chart should remain in the intended position. 



### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![text number](https://user-images.githubusercontent.com/39566471/41178142-3aa384dc-6b1b-11e8-9ec4-47779f15ec8c.gif)

### :memo: Other Info
Unable to reproduce in the demo. ",AlexHarutyunyan,"P4,bug,found during 4.0,regression",2,biovisualize
Change choropleth mapd_geo selector icon to map pin icon,https://github.com/mapd/mapd-immerse/issues/4675,330770264,4675,,2018-06-08T19:05:22Z,2018-06-08T19:46:01Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"BE-Choropleth,geospatial",0,
support ordinal scale in backend choropleth chart,https://github.com/mapd/mapd-immerse/issues/4674,330764467,4674,,2018-06-08T18:46:13Z,2018-06-11T19:41:26Z,"### :speech_balloon: Description

Required to support text type color measures. 

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,"BE-Choropleth,enhancement,geospatial",1,alexbaden
Immerse doesn't support TinyInt,https://github.com/mapd/mapd-immerse/issues/4673,330729387,4673,,2018-06-08T16:47:07Z,2018-06-08T16:47:07Z,"### :speech_balloon: Description
Immerse doesn't support TinyInt

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- run this query on Kali: select * from Paris_Mena;
- compare results from mapdql vs SQL Editor

- **Actual result:**
SQL editor doen't handle tiny int.

- **Expected result:**
Should see exactly same results.

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![Screen Shot 2018-06-07 at 2.16.03 PM.png](https://images.zenhubusercontent.com/59a47c158f62dc7798c4571a/88df4c5c-38a0-4a74-b2ee-c95300c57862)

![Screen Shot 2018-06-07 at 2.16.16 PM.png](https://images.zenhubusercontent.com/59a47c158f62dc7798c4571a/ca50c70d-3206-49ee-a002-c736323598e0)
### :memo: Other Info",menaczar,"P2,bug,found during 4.0",0,
Add auto-zoom to geo-heatmap,https://github.com/mapd/mapd-immerse/issues/4672,330718570,4672,,2018-06-08T16:10:06Z,2018-06-08T18:09:52Z,"### :speech_balloon: Description
Add an auto-zoom feature to geo-heatmap on initial load to focus on the area where data is found, similar to pointmap/choropleth

### :computer: Environment
- **Browser Name, Version**: all
- **mapd-immerse Version or Branch**: master. 4.0 if it turns out to be easy to do

### :page_with_curl: Steps To Reproduce
N/A

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",vastcharade,enhancement,1,vastcharade
Combo chart legend uses square instead of lines on multi-measure,https://github.com/mapd/mapd-immerse/issues/4671,330625735,4671,,2018-06-08T11:42:43Z,2018-06-08T11:42:59Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- any combo chart with multi-measure
- **Actual result:** all chart legend items has a square instead of line
- **Expected result:** should all be lines (when the mark is a line) as when the color dimension is used

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
<img width=""1693"" alt=""screen shot 2018-06-07 at 10 57 43 pm"" src=""https://user-images.githubusercontent.com/824534/41156348-81f74ab6-6aef-11e8-8a94-be5163007256.png"">

### :memo: Other Info",biovisualize,"bug,combo-chart",0,
[Line][Hist.][Combo] Adding Color Dim. after Measure renders empty chart,https://github.com/mapd/mapd-immerse/issues/4670,330585630,4670,,2018-06-08T09:28:57Z,2018-06-11T18:48:16Z,"### :speech_balloon: Description
Currently, if user selects a **Color Dimension** after **X-axis Dimension** and **Measure**, it would render an empty chart. This occurs in Line, Histogram, and Combo chart

### :computer: Environment
- **Browser Name, Version**: Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Select a **X-axis Dimension** and **Measure**
2. Then add in **Color Dimension**

- **Actual result:**
renders blank chart

- **Expected result:**
chart renders correctly

### :dash: Smoke Test
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![line_chart](https://user-images.githubusercontent.com/35040876/41150761-a6c7db20-6ac3-11e8-8c43-0a03aad52c31.gif)

![hist](https://user-images.githubusercontent.com/35040876/41150775-ab5329e2-6ac3-11e8-90f2-dab19adc9d04.gif)


### :memo: Other Info",ericli5454,"P2,bug,found during 4.0,regression,release blocker",3,jmenestr
dummy commit,https://github.com/mapd/mapd-immerse/pull/4665,330517399,4665,,2018-06-08T04:41:25Z,2018-06-08T17:10:30Z,Just for testing if the error we see on https://github.com/mapd/mapd-immerse/pull/4607 was also there before the work on the PR,biovisualize,,5,
remove select join data source machinery ,https://github.com/mapd/mapd-immerse/issues/4664,330512328,4664,,2018-06-08T04:05:17Z,2018-06-08T04:05:17Z,"### :speech_balloon: Description

Was originally added to autopopulate the geojoin with a ""self join"" for backend choropleth. Now that self joins are no longer necessary to just render the geo data, the actions and reducers are not being used. Leaving the code in place for now since we might want to use it later if we add joins across the product. Worth discussing after 4.0. 

Relevant action is `SELECT_GEO_JOIN_DATA_SOURCE_REQUEST`

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,enhancement,0,alexbaden
Binned/Extracted Timestamp formatting and selected formatting display different values for timestamps ending in 00:00:00,https://github.com/mapd/mapd-immerse/issues/4663,330491368,4663,,2018-06-08T01:46:10Z,2018-06-08T01:58:36Z,"### :speech_balloon: Description
There is a difference in how certain Timestamps are displayed Binned, Extracted vs. with Formatting applied (and also in the SQL Editor)
A timestamp like: `2011-01-01 00:00:00`
will appear as Dec 31, 2010 with formatting applied and in the SQL Editor, but will display Jan 1, 2011 while binned or extracted.
Extracted/Binned with no formatting tends to 'round up' while the SQL Editor and The formatting dropdown menu tend to 'round down'. 


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Table chart (Source: 'family_3' on mahakali | Dimension: BIN 'birth_timestamp' | Dimension EXT birth_timestamp)
- Change the Date Formatting of the Auto Bin column to year only (%y)
- **Actual result:**
The same data may appear differently depending on the selection. 
- **Expected result:**  

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
<img width=""650"" alt=""screen shot 2018-06-07 at 6 43 56 pm"" src=""https://user-images.githubusercontent.com/39566471/41134726-c58e16c8-6a82-11e8-863d-af1d94510c68.png"">

![screen shot 2018-06-07 at 6 24 31 pm](https://user-images.githubusercontent.com/39566471/41134707-ae0fa804-6a82-11e8-9d0e-cf7d43ea4a20.png)

![screen shot 2018-06-07 at 6 21 26 pm](https://user-images.githubusercontent.com/39566471/41134717-b67e23d0-6a82-11e8-90e5-8ca66e3cee5d.png)




### :memo: Other Info
Not quite sure what the expected result should be, since this seems like a timezone issue. Since the original data is listed as Jan 1, I think it should 'round up' regardless of the timezone. 

",AlexHarutyunyan,"P4,bug,found during 4.0",0,
mapd_geo POINT column appears in charts that cannot utilize it and populates the field despite unsupported error message,https://github.com/mapd/mapd-immerse/issues/4661,330481581,4661,,2018-06-08T00:39:13Z,2018-06-08T21:32:56Z,"### :speech_balloon: Description
Able to add mapd_geo POINT column as a dimension and measurement is all charts. The field is populated despite an unsupported type error message and remains there when jumping around different charts, eventually triggering an error loop. 

### :computer: Environment
- **Browser Chrome, 67.0.3396.62**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create Bar Chart (Source: 'Metro_Stations_in_DC' | Dimension: 'mapd_geo' | Measure: 'mapd_geo')
- Jump to Pie Chart
- **Actual result:**
The table containing mapd_geo POINT column is not handled properly by charts that cannot use it. 
- **Expected result:**
The geo column should only be available to charts that can utilize it (no crash)


### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![mapd_geo point](https://user-images.githubusercontent.com/39566471/41133032-746cc5ae-6a79-11e8-91ea-9b93fdaa0b1e.gif)

![screen shot 2018-06-07 at 5 24 34 pm](https://user-images.githubusercontent.com/39566471/41133041-873b7c7a-6a79-11e8-962f-e0a27ca12f0f.png)

### :memo: Other Info",AlexHarutyunyan,"P2,bug,found during 4.0",1,jrajav
