Summary,LEGACY GH issue ID,Fix Version/s,LEGACY GH created,LEGACY GH updated,Description,Reporter,Labels,Assignee,Comment Body
[Geo-Choropleth] Dropdown behavior of selected Geo Measure inconsistent between choropleth w/ Geo-join and choropleth w/o  ,4731,,2018-06-13T19:03:07Z,2018-06-13T19:14:23Z,"### :speech_balloon: Description
After user creates a Geo-Choropleth chart with Geo-Join (i.e. join flight table with mapd_state via state col.)and user selects the Geo Measure field; it would generate an empty dropdown. This behavior is inconsistent with Geo-Choropleth without Join where selecting the Geo Measure field would generate a dropdown with [mapd_geo <pt. icon>]. 

### :computer: Environment
- **Browser Name, Version**:  Chrome, Firefox, Safari
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Create a Geo-Choropleth with the following:
**Data Source:** flight
**Dimension:** dest_state
**Measure - Geo:** mapd_geo (note need to create join table before selecting geo measure)
**Measure -Color:** airtime (avg)
Join Table:
**Data Source:** Mapd_states
**Table Column:** abbr

2. Click on Geo Measure

- **Actual result:**
empty drop down which is inconsistent with Geo-Choropleth without Join

- **Expected result:**
Consistent dropdown behavior across Geo-choropleth charts



**Geo-Choropleth with Join**
<img width=""1353"" alt=""screen shot 2018-06-13 at 11 14 15 am"" src=""https://user-images.githubusercontent.com/35040876/41372349-e4806b16-6f01-11e8-8486-511849d79bf0.png"">


**Geo-Choropleth without Join**
<img width=""1184"" alt=""screen shot 2018-06-13 at 11 30 45 am"" src=""https://user-images.githubusercontent.com/35040876/41372331-d857f3e0-6f01-11e8-87b9-b3b139fdeded.png"">





### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",ericli5454,"P3,bug,found during 4.0",,"I see. This is likely because the measures from the join column get tacked on to the selector options here: https://github.com/mapd/mapd-immerse/blob/master/src/components/measure-selectors-popover/measure-selectors-popover-parent.js#L179

Need to figure out where the code is that shows a selected item in the selector and make sure it handles the join sources appropriately. ,alexbaden"
Document a timeline of the 4.0 release,4730,,2018-06-13T18:28:17Z,2018-06-13T18:51:23Z,"### :speech_balloon: Description
For helping with 4.0 release post-mortem, let's document the series of events so we can identify the part of the workflow that could be improved for more predictability.

### Acceptance criteria
Deliver a short list of milestones taken from Slack and from Github",biovisualize,,,"Some milestones to start the show

3.8.0-isg: Apr 20
4.0.0 rc1: Jun 6
4.0.0 rc2: Jun 8
4.0.0 rc3: Jun 12

May 16
https://mapd.slack.com/archives/C2FHQBD1P/p1526498090000158
>Venkat Krishnamurthy [15:14]
@here we’re planning code-freeze on Friday for 4.0. also, it’s all hands on deck for testing (already ongoing), so please pitch in and help @david and team whenever they ask for help. also let me know if there’s anything for 4.0 that you’re working on that is at risk of not making it in before friday, any PRs that need review or any other issues/obstacles in this regard.

May 18th at 15:25
https://mapd.slack.com/archives/C7XN0AJSF/p1526671511000272
>Pavan [15:25]
Was the code freeze moved to Monday or do I need to get this patch in before midnight?  Just rolling through the test matrix currently.
Todd Mostak [15:33]
@venkat can comment, but i think at least monday
Venkat Krishnamurthy [15:33]
yes, i was planning to annoucen this on the engg-general channel

May 24th at 13:54
https://mapd.slack.com/archives/C165ZDWHJ/p1527184476000332
>Venkat Krishnamurthy
@here just to clarify schedule from here on out
• (New) 4.0 Release date *6/5*
• Code freeze targeting end of this week (5/25)
• we’ll begin RCs on Tuesday 5/29

May 25th at 17:15
https://mapd.slack.com/archives/C6HHEF0Q6/p1527282939000034
>Venkat Krishnamurthy
code freeze is today, depending on bigness we can make exceptions

Jun 11th at 07:57
https://mapd.slack.com/archives/C165ZDWHJ/p1528718226000146
>Christophe Viau
Status: we were ready for code freeze on Friday, but I now see 17 issues tagged `4.0` and 2 of them are release-blockers. I would advise against adding new features at this point unless we are ready to risk missing our deadline again. We should be at code freeze and deep in the buffer zone for fixing regressions found during QA.
Can I have access to the Immerse Release Plan calendar or have @Dennis add some info there? I would add `Code Freeze` today and `4.0 Release` Thursday.,biovisualize"
[UI Components] Make components required for new formatting UI,4728,,2018-06-13T13:08:10Z,2018-06-13T13:08:24Z,"### Description

Create initial versions of the input components that will be necessary to make the upcoming new measure formatting UI, using the new component sandbox and design system.
",jrajav,"Design System,components",,
"[UI Components] Prototype a component sandbox solution (""living component library"")",4727,[object Object],2018-06-13T13:03:39Z,2018-06-13T17:44:33Z,"### Description
Investigate and prototype different solutions for developing components collaboratively with design, integrated with the actual logic, styling, and tests for the components.

Examples:
https://github.com/storybooks/storybook
https://github.com/styleguidist/react-styleguidist

### Goals
A minimal example of a component implemented in one or more prospective solutions, ready to plug in a MapD component and some test cases / different inputs.",jrajav,"Design System,components,design",jmenestr,
Unable to apply number formatting to aggregate measures on the Number chart ,4726,,2018-06-13T02:25:14Z,2018-06-13T02:25:51Z,"### :speech_balloon: Description
Number formatting is applied to AVG measure upon initial load, but once a switch is made to another aggregate (min, max, sum, unique, stddev) the number will no longer respond to the formatting on the right side. 

### :computer: Environment
- **Browser: All **: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a Number chart (Source: flights | Measure: airtime)
- Switch the aggregate from AVG to MIN
- Change the formatting on the right side 

- **Actual result:**
Formatting can only be applied to AVG on first load and measures without aggregates like # Records
- **Expected result:**
User should be able to apply formatting to all aggregates on the number chart. 



### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![numberformatting](https://user-images.githubusercontent.com/39566471/41326740-521f06e2-6e75-11e8-86d2-c1234e5ac364.gif)
### :memo: Other Info",AlexHarutyunyan,"P4,bug,found during 4.0",,
[Combo] X-axis mis-aligned when X-axis Dimension is Numeric datatype,4723,,2018-06-12T23:25:22Z,2018-06-12T23:25:22Z,"### :speech_balloon: Description
Currently, when we create a combo chart with a numeric X-axis dimension, the x-axis would be mis-aligned to the right.

### :computer: Environment
- **Browser Name, Version**:  Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1. Create a chart with the following:
**Data Source:** tweet_2017_may
**x-axis dimension:** tweet_count (auto)
**y-axis measure:** record

- **Actual result:**
 x-axis not aligned

- **Expected result:**
x-axis aligned

<img width=""1669"" alt=""screen shot 2018-06-12 at 4 18 54 pm"" src=""https://user-images.githubusercontent.com/35040876/41322307-2692a2ee-6e5d-11e8-8187-0678d9daa64b.png"">


### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",ericli5454,"P3,bug",biovisualize,
Create design assets to match the Design System Component Library ,4722,,2018-06-12T22:16:04Z,2018-06-13T12:53:13Z,"### :speech_balloon:

As our new design system component library evolves so will our design resources. 
Example sticker sheets, shared library objects and styles.










































































",Christian-Baptiste,"Design System,design",Christian-Baptiste,"This seems purely design-side (Sketch resources and image assets), right? So not much relation to the tech or collaborative side of https://github.com/mapd/mapd-immerse/issues/4715 - but if there is, let us know how we can help.,jrajav"
Accessibility styling,4721,,2018-06-12T22:11:27Z,2018-06-13T00:21:58Z,"### :speech_balloon: 

To make our apps both visually appealing and accessible we will need to update our apps with some new styling. These styles will need to include acceptable contrast levels, font sizing, and tool tips (for screen readers).


- First stab at this will be to change all of our primary button styling.
- Next we will start testing different text contrast.
- Next we will start to do an inventory to determine where include and are missing tool tips.

",Christian-Baptiste,"Design System,design",Christian-Baptiste,
[UI Components] Start a widget design system,4717,,2018-06-12T21:39:52Z,2018-06-13T13:11:14Z,"### Description
Taking a simple widget and a simple task as a pretext, we could start figuring out how a UI design system could work. For example:
* Task: accessible button (color, tooltip)
* Widget: buttons
* Design system: decoupled button component, specific css file of theme, vector button to use in sketch, test page in a component sandbox to try out different button states and events

Related to https://github.com/mapd/mapd-immerse/issues/4727

### Acceptance criteria
An improved widget in the UI that also shows a complete design workflow",biovisualize,"Design System,components,design",,
[UI Components] Make inventory of current components,4716,,2018-06-12T21:35:48Z,2018-06-13T12:58:27Z,"### Description
List all widgets we have so we can start figure out how to transition to a proper component library.

### Acceptance criteria
A list of widgets coming from Immerse, preferably with screenshots, stored someplace accessible and easy to modify (such as the wiki at https://mapdgpu.atlassian.net/wiki/spaces/FE/overview).

### Start of a list
* Error modal
* tooltips
* Dropdown
* Form widgets (checkbox/togle)",biovisualize,"components,design",,
[UI Components] Components library,4715,,2018-06-12T21:09:00Z,2018-06-13T13:08:42Z,"### Description
Move to a documented UI library or at least patterns.

### User story

### Acceptance criteria

### Goals
* Document the design patterns
* Hand-off design to implementation
* Force to decouple the code into modular components with clear interfaces and sane relation with the UI part of it

### Steps
* Make an inventory of the widgets we have and the constraints attached to them
* List the UI goals (accessibility)
* Identify how to get started

### Find a project as a pretext to get started:
* Formatting UI
* Admin UI
* Error modals
* Notifications
* Low-hanging fruits like button colors and components that are already stock, like some autocomplete dropdowns, tooltips
* Responsiveness is a project that is too big, but maybe doing it for a view, like Dataset or SQL Editor

### Constraints from the tech side
* We don't often have new views or components to introduce, so we need to be proactive in reworking our existing components for any project
* We have a lot of custom components, sometimes it's just a normal component with deep coupling in the rest of the code, but sometimes it's because the widgets are very complicated, contextual or just plain weird.",biovisualize,"Design System,Epic,components",Christian-Baptiste,"Here are a couple examples of design systems to modal after:

https://material.io/
https://material.io/design/layout/responsive-layout-grid.html#columns-gutters-margins
http://ands.herokuapp.com/
http://ibm-design-language.mybluemix.net/design/language/resources/
http://www.carbondesignsystem.com/
,Christian-Baptiste"
Convert current flow files into typescript files,4714,,2018-06-12T20:24:24Z,2018-06-12T20:24:24Z,"Remove existing flow files and convert to typescript

### Acceptance Criteria
1) __MUST__ convert all files with `flow` directive over to typescript
2) __MUST__ remove all flow packages from `package.json`",jmenestr,tech,,
Add typescript compiler into existing  build system,4713,,2018-06-12T20:22:07Z,2018-06-12T20:22:07Z,"Add typescript complication into our current build system.

## Acceptance Criteria
1) __MUST__ allow for a mix of existing `.js` files and new `.ts` files
2) __MUST__ not change the public API of how assess are built
",jmenestr,tech,jmenestr,
Adding Typescript to Immersere,4712,,2018-06-12T20:18:59Z,2018-06-13T20:20:14Z,"Context: 
As the immerse codebase grows, and we strive towards reliability and predictability, we need better tools for scaling the code. Introducing new static analysis will do a few things to help us reach these goals

1) Allows developers to focus on exposed APIs, and use tooling to consume those APIs (no need to know the code base by memory)
* Types exists for libraries we depend greatly on ([crossfilter.js](https://www.npmjs.com/package/@types/crossfilter), [dc.js](https://www.npmjs.com/package/@types/dc)), which we can consume in our `connector` and `charting` libraries for cleaner, more maintainable interfaces with immerse
2) Time saved fixing bugs is time gained writing features
* `Typescript` tooling is fantastic. It will help prevent interface bugs before production, and since tooling can read and understand `typescript` interfaces, more time is spent just writing new code rather than always having to look up types and data contracts

By integration all our libraries together with `typescript`, we gain faster developer speed (more features) and better documentation that remains in sync with the code. 

Goal:
Incrementally add typescript to the `immerse` platform in such a way that
1) New `.ts(x)` files can live with existing `.js(x)` files
2) existing type systems (`flow`) are removed and migrated over to typescript

Related epics:

https://github.com/mapd/mapd-immerse/issues/4328
",jmenestr,"Epic,tech",,"The way this Epic is phrased, there's nothing that can tell us when to close it or if we reached any goal. Let's find a user-facing project that will validate the benefits of this architecture change that can be tracked and used as deliverable as well as acceptance criteria. ,biovisualize
@biovisualize I think the point of this one is not to track ongoing Typescript inclusion, we haven't scoped that much yet. The deliverables are #4713 and #4714, and pretty small and measurable.,jrajav
Very much onboard with this idea! I have used typescript on complex
projects in the past and it is a great tool for reducing runtime errors and
improving code readability.

Chris V makes a good point. Perhaps a good place to start is crossfilter /
the data layer? I find that’s the most opaque part of immerse, and
improving that API would help our clients who have custom frontend tools as
well.

On Tue, Jun 12, 2018 at 16:30 Chris Viau <notifications@github.com> wrote:

> The way this Epic is phrased, there's nothing that can tell us when to
> close it or if we reached any goal. Let's find a user-facing project that
> will validate the benefits of this architecture change that can be tracked
> and used as deliverable as well as acceptance criteria.
>
> —
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly, view it on GitHub
> <https://github.com/mapd/mapd-immerse/issues/4712#issuecomment-396723253>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AFkzUm53w9HmGfSEZEyfkkQqxqapCyVNks5t8CT2gaJpZM4UlFo1>
> .
>
,alexbaden
To that point though, we should probably more explicitly scope this down to just those two and call it closed when finished. @jmenestr if you agree can we please title this epic more like 'beginning' or 'initial' inclusion to Immerse?,jrajav
I feel like we'll know the epic is done when it's associated stories are also done, but adding acceptance criteria would be a way specify the deliverables ,jmenestr
@alexbaden @jrajav @biovisualize 

I'll decrease the scope of this particular epic, but if this isn't done when we get jira, I'd like an over-aching epic that does encompass adding `typescript` to all our `js` libraries and use that as a tracker that can span repos. The unfortunate con with GitHub is that the epic is only related tone repo,jmenestr"
Investigate chart color spec shapes,4709,,2018-06-12T16:16:33Z,2018-06-12T16:16:46Z,"Look into the possible shapes of `chartSpec.colors` to better understand it for future work around organizing, sharing, and decoupling the chart state.

Supports https://github.com/mapd/mapd-immerse/issues/4328 and https://github.com/mapd/mapd-immerse/issues/4327

Goal: There appear to be three types of colorShapes, `nullColorShape`, `regularColorShape`, and `customColorShape`. Find out relevant info about them and record snapshots of them in real state for a few different chart types and configurations.",jrajav,tech,jmenestr,
[WIP] fix chart animation offset in editor,4708,,2018-06-12T15:57:36Z,2018-06-14T14:57:48Z,"### 💬  Description
 
### 📄 Github Issue
Closes #4676

### :camera_flash: Screenshot",biovisualize,,,"**Immerse**: http://immerse-4708.dev.frontend.builds.mapd.com

,mapd-bot
**Immerse**: http://immerse-4708.dev.frontend.builds.mapd.com

,mapd-bot
@biovisualize, I am still seeing the issue on the build.,uyanga-gb
@uyanga-gb, @AlexHarutyunyan is still seeing it too, but only on mahakali on certain browsers. I can't reproduce, so I will need to stash it until after 4.0. ,biovisualize"
Clean up raster chart functionality,4706,,2018-06-12T13:51:04Z,2018-06-12T13:53:46Z,"Master issue to investigate raster chart (pointmap, geoheat, choropleth) functionality as relating to selectors (dimensions, measures), automatic logic around geo columns, and anything else that can be consolidated, shared, or made more robust.

* Ensure that x, y (lon, lat) columns are treated specially in a robustly stored or referenced way - in many parts of the code now, they are just assumed to be index 0 and 1 in the measures.

Other notes from Slack:
* Cleaning up the dimension shenanigans
* Removing all references to “geoheat” that don’t reference a heatmap
* Unifying raster chart actions and using thunk
* Or sagas or some such to dispatch appropriate functions?",jrajav,tech,,
"[Geo - Pointmap] Ensure that popup columns on pointmap are properly set to static aggregate columns, even if some popup columns have been set before setting the dimension",4705,,2018-06-12T13:35:30Z,2018-06-12T13:37:58Z,"### :speech_balloon: Description

When selecting a dimension on pointmap, the popup columns are set to the static set of columns defined in the aggregate and the popup column configuration is hidden. However, if one selects some custom popup columns before selecting the dimension, only that set is shown. Need to clear the popup columns back to the default before setting the static set.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,bug,,
issue with null domain after switching between raster charts,4702,,2018-06-12T04:14:10Z,2018-06-12T04:14:10Z,"### :speech_balloon: Description

Sometimes the raster chart domain will appear as ""null"" when switching between raster charts before saving. Am having a difficult time reproing, but suspect it might have something to do with handling autoscaling properly on a raster chart switch.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,bug,,
